title,description,published_at,source,url,country
Trisha: விஜய்க்கு ஓட்டு போட்டாரா த்ரிஷா? - சைலண்டாக செய்த சம்பவம்.. தவெகவினர் மகிழ்ச்சி!,நடிகை த்ரிஷா தனது தாயாருடன் வந்து  சென்னை அபிராமிபுரம் பகுதியில் உள்ள செயின்ட் பிரான்சிஸ் சேவியர் நடுநிலைப்பள்ளியில் தனது வாக்கினை பதிவு செய்தார். அதனைத் தொடர்ந்து இன்ஸ்டாவில் போட்ட பதிவு வைரலாகியுள்ளத,2026-04-24T01:37:37Z,ABP Nadu,https://tamil.abplive.com/entertainment/tn-election-2026-actress-trisha-instagram-post-viral-indirectly-singal-to-support-tvk-vijay-257313,India
Beggars in Kuala Lumpur growing more assertive,A trend is emerging: groups of women with young children are increasingly targeting passers-by. Read more at straitstimes.com.,2026-04-25T03:25:00Z,The Straits Times,https://www.straitstimes.com/asia/se-asia/beggars-in-kuala-lumpur-growing-more-assertive,Nepal
연합뉴스 한민족센터,연합뉴스 한민족센터는 동포 관련 뉴스와 정보를 통해 동포사회의 목소리를 반영합니다.,2026-04-25T03:23:51Z,연합뉴스 한민족센터,https://www.koreancenter.or.kr/news/articleView.html?idxno=1344818,Nepal
Signal: Spionagekampagne erreicht Bundesregierung - Ministerinnen betroffen,Der Angriff auf Nutzer der Messenger-App Signal betrifft auch die Bundesregierung direkt. Bildungsministerin Karin Prien und Bauministerin Verena Hubertz gehören nach SPIEGEL-Informationen zu den Opfern der Kampagne.,2026-04-25T03:23:00Z,Spiegel,https://www.spiegel.de/politik/signal-attacke-ministerinnen-betroffen-a-a4ad5e41-c595-41d3-bcab-87a522925838,Nepal
"Ночные взрывы в Харькове: ""прилеты"" в двух районах, уничтожена остановка",Начиная с 03:25 25 апреля в Харькове прогремело уже не менее пяти взрывов.,2026-04-25T03:23:00Z,objectiv.tv,https://www.objectiv.tv/objectively/2026/04/25/vzryvy-gremyat-v-harkove-terehov-soobshhil-o-priletah/,Nepal
"Song Hye Kyo say xỉn có hành động khác thường ngày giữa sự kiện, phản ứng của truyền thông mới sốc",Hình ảnh của Song Hye Kyo trong sự kiện mới đã gây xôn xao bàn tán.,2026-04-25T03:23:00Z,Kenh14.vn,https://kenh14.vn/song-hye-kyo-say-xin-co-hanh-dong-khac-thuong-ngay-giua-su-kien-phan-ung-cua-truyen-thong-moi-soc-215260425104227411.chn,Nepal
Urge elevar el rigor en las sanciones contra el robo de combustibles,Órgano Oficial del Comité Central del Partido Comunista de Cuba. Fundado el 3 de octubre de 1965. Actualización de noticias 24 horas.,2026-04-25T03:22:47Z,Granma,https://www.granma.cu/cuba/2026-04-25/urge-elevar-el-rigor-en-las-sanciones-contra-el-robo-de-combustibles-24-04-2026-20-04-09,Nepal
Gutachten zeigt große Rentenlücke deutlich,"Millionen droht im Alter Armut, wenn die Rente nicht reicht. Ein neues Gutachten zeigt, wie viel Geld es braucht – und wie groß die Lücke ist.",2026-04-25T03:22:46Z,Merkur,https://www.merkur.de/wirtschaft/deutlich-gesetzliche-rente-reicht-nicht-gutachten-macht-grosse-rentenluecke-zr-94276356.html,Nepal
سلاح السرطان السري.. كيف تتعلم الأورام النجاة من العلاج؟,كشفت دراسة حديثة صادرة عن باحثين في مركز NYU Langone Health وكلية الطب بجامعة نيويورك، ونُشرت في مجلة Nature، عن آلية بي,2026-04-25T03:22:30Z,البيان,https://www.albayan.ae/lifestyle/health/1220194,Nepal
Israel continues strikes in southern Lebanon despite ceasefire extension,"Israel has continued to strike Lebanon despite a recent ceasefire extension, with both sides accusing each other of violations.
According to official statements, Israeli troops carried out strikes...",2026-04-25T03:22:18Z,The News International,https://www.thenews.com.pk/latest/1400278-israel-continues-strikes-in-southern-lebanon-despite-ceasefire-extension,Nepal
""" Douloureux et très triste pour le tennis "" : le forfait de Carlos Alcaraz à Roland-Garros, un tremblement de terre ressenti jusqu'à Madrid","Blessé au poignet droit, Carlos Alcaraz a annoncé vendredi après-midi son forfait pour Roland-Garros, dont il est le double tenant du titre. Un tremblement de terre.",2026-04-25T03:22:00Z,L'Équipe,https://www.lequipe.fr/Tennis/Article/-douloureux-et-tres-triste-pour-le-tennis-le-forfait-de-carlos-alcaraz-a-roland-garros-un-tremblement-de-terre-ressenti-jusqu-a-madrid/1670678,Nepal
"Vaibhav Sooryavanshi : वैभव सूर्यवंशी के निशाने पर क्रिस गेल का महारिकॉर्ड, बन जाएंगे ऐसा करने वाले पहले बल्लेबाज","SRH vs RR, IPL 2026: IPL के 36वें मैच में आज राजस्थान रॉयल्स का मुकाबला सनराइजर्स हैदराबाद की टीम के साथ होना है, आज के मैच में सबकी नजर एक बार फिर वैभव सूर्यवंशी पर रहेगी.",2026-04-25T03:21:56Z,NDTV.in,https://ndtv.in/cricket/vaibhav-sooryavanshi-upcoming-record-in-ipl-2026-fastest-to-50-sixes-in-ipl-chris-gayle-record-srh-vs-rr-hindi-11406547,India
"Khalnayak Returns: Sanjay Dutt to return as Ballu in Khal Nayak sequel, reveals he got the idea in jail","Sanjay Dutt will return as Ballu in Khalnayak Returns, a sequel to the iconic 1993 film that revived his career. | Bollywood",2026-04-25T03:18:30Z,Hindustan Times,https://www.hindustantimes.com/entertainment/bollywood/sanjay-dutt-announces-khalnayak-sequel-says-he-got-idea-for-movie-in-jail-101777059812250.html,India
"RIL Stock: मुनाफा घटा... रेवेन्यू बढ़ा, डिविडेंड का ऐलान, Q4 नतीजों का सोमवार को दिखेगा असर",Reliance Share In Focus: मुकेश अंबानी की कंपनी रिलायंस इंडस्ट्रीज ने बीते कारोबारी दिन अपनी चौथी तिमाही के नतीजों का ऐलान कर दिया है और इनका असर RIL Stock पर सोमवार को देखने को मिल सकता है.,2026-04-25T03:17:28Z,AajTak,https://www.aajtak.in/business/news/story/reliance-share-in-focus-ril-q4-results-profit-fall-revenue-jumps-dividend-announced-tutc-dskc-2532951-2026-04-25,India
Dipali Sayyed On Her Fight With Rakhi Sawant; 'माझ्याबद्दल सगळं माहित असूनही तिनं गेमसाठी मर्यादा ओलांडली' राखीबद्दल स्पष्टच बोलली दीपाली सय्यद,Dipali Sayyed : दीपाली सय्यदनं नुकत्याच एका मुलाखतीमध्ये तिच्या आणि राखी सावंतच्या वादाबद्दल भाष्य केलं आहे.,2026-04-25T03:14:33Z,Maharashtra Times,https://maharashtratimes.com/entertainment/bigg-boss-marathi/dipali-sayyed-talks-about-her-fight-with-rakhi-sawant-because-of-raqesh-bapat/articleshow/130507203.cms,India
"Varanasi Update : మహేశ్ బాబు, ప్రియాంక చోప్రాలపై సాంగ్ - ఫోటోస్ ఫ్రమ్ వారణాసి","Vranasi Songs : విజువల్ వండర్ వారణాసిలో మహేశ్ బాబు, ప్రియాంక చోప్రాలపై ఓ సాంగ్ కంప్లీట్ చేశారు. సోషల్ మీడియాలో ఈ ఫోటోలు వైరల్ అవుతున్నాయి.",2026-04-25T03:14:16Z,ABP Desam,https://telugu.abplive.com/entertainment/cinema/mahesh-babu-priyanka-chopra-pics-with-varanasi-choreographer-bosco-martis-dance-sequence-wrap-245350,India
பேச்சுவார்த்தை நடத்த பாகிஸ்தான் பயணிக்கும் டிரம்பின் தூதர்கள் - இரான் கூறியது என்ன?,"இரான் உடனான அமைதி பேச்சுவார்த்தைக்காக டொனால்ட் டிரம்பின் சிறப்பு தூதர் ஸ்டீவ் விட்காஃப், அமெரிக்க அதிபரின் மருமகன் ஜாரெட் குஷ்னர் ஆகியோர் சனிக்கிழமை (ஏப்ரல் 25) காலை பாகிஸ்தான் செல்ல உள்ளதாக வெள்ளை மாளிகை தெரிவித்துள்ளது.",2026-04-25T03:10:14Z,BBC,https://www.bbc.com/tamil/articles/cm29mv584lno,India
"PlaySimple Games ला रही है ₹3150 करोड़ का IPO, ड्राफ्ट जमा","PlaySimple Games IPO: दिसंबर 2025 तक उत्तरी अमेरिका, यूरोप और एशिया में प्लेसिंपल गेम्स के लगभग 49.9 लाख डेली एक्टिव यूजर थे। भारत में कॉम्पिटीटर नजारा टेक्नोलोजिज है। 2025 के लिए कंपनी का मुनाफा 359 करोड़ रुपये रहा - playsimple games has filed draft papers with sebi to raise funds up to rs 3150 crore via ipo",2026-04-25T03:09:15Z,Moneycontrol Hindi,https://hindi.moneycontrol.com/news/ipo/playsimple-games-has-filed-draft-papers-with-sebi-to-raise-funds-up-to-rs-3150-crore-via-ipo-2395164.html,India
"UK Board Result 2026 LIVE: UBSE Class 10th, 12th Result Today 10 AM; Check Official Website, Toppers List, Roll Number and More","Uttarakhand Board UBSE 10th 12th result 2026 to be announced at 10 AM on April 25, 2026. Candidates must login with their roll number tocheck the result and download the marksheets.",2026-04-25T03:07:30Z,Jagran Josh,https://www.jagranjosh.com/news/uk-board-result-2026-live-ubse-class-10-12-result-check-official-website-toppers-list-roll-number-and-more-lb-206345,India
"समंदर के पानी में कैसे बिछाई जाती हैं बारूदी सुरंगें, मिनटों में तबाह हो जाते हैं जहाज","समंदर में बिछाई जाने वाली बारूदी सुरंगें काफी खतरनाक होती हैं। ये धाराओं के साथ जगह भीबदलती रहती हैं। अमेरिका का दावा है कि होर्मुज में ईरान ने 6 हजार सुरंगें बिछाई हैं। इन्हें साफ करने का काम चल रहा है। , International Hindi News - Hindustan",2026-04-25T03:07:24Z,Live Hindustan,https://www.livehindustan.com/international/how-are-landmines-laid-in-the-ocean-ships-are-destroyed-in-a-matter-of-minutes-201777085038862.html,India
Surat : અલથાણ હંગામા પર DCP ની સ્પષ્ટતા,Surat Althan Molestation Case : સુરતના અલથાણ વિસ્તારમાં ગઈકાલે રાત્રે વિધર્મી યુવકે સગીરાની છેડતી કરતા ભારે હોબાળો મચી ગયો હતો.,2026-04-25T03:06:19Z,GujaratFirst,https://www.gujaratfirst.com/surat/surat-althan-police-station-crowd-lathicharge-dcp-nidhi-thakur/298736/,India
2026 NFL Draft: Steals and reaches from Day 2,Biggest steals and reaches from Day 2 of the 2026 NFL Draft using PFF Grades and Big Board data. Find top value picks. See the grades.,2026-04-25T03:21:00Z,PFF,https://www.pff.com/news/draft-steals-and-reaches-from-day-2,USA
"OpenAI CEO Sam Altman ""deeply sorry"" for failing to alert law enforcement to Canada school shooter's ChatGPT account","The ChatGPT account of the shooter, who killed eight people in a small British Columbia community, had been banned about eight months prior to the massacre.",2026-04-25T03:16:36Z,CBS News,https://www.cbsnews.com/news/sam-altman-deeply-sorry-not-flagging-law-enforcement-canada-school-shooters-chatgpt-account/,USA
Justice Department to allow firing squads for executions in move to ramp up capital punishment,The Justice Department will adopt firing squad as a permitted method of execution as the Trump administration moves to ramp up and expedite capital punishment cases.,2026-04-25T03:02:11Z,NPR,https://www.npr.org/2026/04/24/nx-s1-5798990/doj-firing-squads-executions-trump-capital-punishment,USA
This is who's developing Golden Dome's orbital interceptors-if they're ever built,"If boost-phase intercept from space is not affordable and scalable, we will not produce it.""",2026-04-25T02:52:37Z,Ars Technica,https://arstechnica.com/space/2026/04/this-is-whos-developing-golden-domes-orbital-interceptors-if-theyre-ever-built/,USA
Jonathan Greenard made appearance at Sixers game with Big Dom,When will new Eagles defensive end Jonathan Greenard make his first appearance in Philadelphia?,2026-04-25T02:48:23Z,NBC Sports,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/jonathan-greenard-made-appearance-at-sixers-game-with-big-dom,USA
Reactions to Cardinals drafting Carson Beck,Miami Hurricanes quarterback Carson Beck is an Arizona Cardinal. There were plenty of reactions to be had about the third-round pick.,2026-04-25T02:41:17Z,Arizona Sports,https://arizonasports.com/nfl/arizona-cardinals/carson-beck-react/3618938/,USA
US strike on alleged drug boat kills 2 in eastern Pacific,"The U.S. military says it launched another strike on a boat accused of ferrying drugs in the eastern Pacific Ocean, killing two people Friday.",2026-04-25T02:36:00Z,AP News,https://apnews.com/article/trump-drug-cartels-pacific-ocean-42e0097eea2b04bbec4f84afed237d71,USA
Falklands veteran hopes King can get Trump to 'back down',"Simon Weston says reports the US is reviewing the UK's claim to the territory makes his sacrifice feel ""irrelevant"".",2026-04-25T02:28:20Z,BBC,https://www.bbc.com/news/articles/c62lp853214o,USA
Altman apologizes after OpenAI failed to alert police before fatal Canada shooting,"OpenAI said the company had identified an account using abuse detection efforts, but determined at the time it didn’t meet threshold for legal referral",2026-04-25T02:13:00Z,The Guardian,https://www.theguardian.com/us-news/2026/apr/25/altman-apologizes-after-openai-failed-to-alert-police-before-fatal-canada-shooting,USA
"El antiguo reino montañoso donde la fantasía de ""Narnia"" y ""Game of Thrones"" cobra vida","Las montañas de Mourne, en Irlanda del Norte, han inspirado la imaginación para crear escenarios de fantasía durante más de 75 años.",2026-04-25T02:01:00Z,CNN en Español,https://cnnespanol.cnn.com/2026/04/24/viajes/reino-montanoso-narnia-game-of-thrones-irlanda-del-norte-trax,USA
"Saka, Timber, Calafiori - Arsenal injury news and return dates for Newcastle clash",Arsenal face Newcastle United in the Premier League on Saturday with Mikel Arteta confirming two key players could return from injury,2026-04-25T02:14:57Z,Football London,https://www.football.london/arsenal-fc/news/arsenal-injuries-saka-timber-calafiori-33832731,UK
'Falklands tell Trump to back off' and 'Harry does a Diana',"Many of the papers lead on a leaked Pentagon memo, which suggests the US could back Argentine sovereignty of the Falklands.",2026-04-25T02:03:07Z,BBC,https://www.bbc.co.uk/news/articles/cp8d3kev87eo,UK
"How Harry Styles, Lily Allen and other stars are helping grassroots artists",Ticket money from some stadium and arena gigs is helping support struggling grassroots artists and venues.,2026-04-25T01:22:36Z,BBC,https://www.bbc.co.uk/news/articles/c2lwy12j2j8o,UK
Palantir under fire for X 'manifesto' from co-founder Alex Karp,The boss of the controversial tech company with UK government contracts published a 22-point plan on the future of the West.,2026-04-25T01:18:33Z,BBC,https://www.bbc.co.uk/news/articles/c4gjkj7975po,UK
Kamonnan Thiamphanit: Man charged with murder after extradition from UAE,"Kamonnan Thiamphanit, 27, who was also known as Angela, was stabbed in Westminster in 2024.",2026-04-25T01:06:37Z,BBC,https://www.bbc.co.uk/news/articles/ce9mkxy0drro,UK
Europe's Nato allies push back at reported US threat to Spain,"On Friday morning, souring relations between Europe and the United States reared its Medusa-like head again, writes the BBC's Europe editor.",2026-04-25T00:10:51Z,BBC,https://www.bbc.co.uk/news/articles/cj40r2gw24wo,UK
Woman's harrowing last four words as she dies of lung problems after vaping habit,"Escarlen De los Santos, 30, used her last moments to warn her followers to stay off vapes and hookahs, because her habit led to her diagnosis of respiratory failure",2026-04-24T23:44:00Z,The Mirror,https://www.mirror.co.uk/news/world-news/vaping-dangers-lung-failure-warning-37068227,UK
King's 'high stakes' visit with Trump will be toughest test yet of his reign,The state visit to the US looks fraught with difficulty - but could be key to rescuing the special relationship.,2026-04-24T23:36:58Z,BBC,https://www.bbc.co.uk/news/articles/ce35xkgjqd5o,UK
Twins found holding each other after both die from intense electrocution,"The twins, 22, were fatally electrocuted after accidentally touching high-voltage cables using a metal pole and it is believed that one of the brothers died while trying to save his twin",2026-04-24T23:19:00Z,The Mirror,https://www.mirror.co.uk/news/world-news/twins-both-die-from-electrocution-37068214,UK
AFL sacks appeals board chair Will Houghton after Lance Collard case,Will Houghton KC is sacked as the chair of the AFL appeals board after the body's widely criticised statement and decision in the case of St Kilda player Lance Collard.,2026-04-25T03:11:14Z,Australian Broadcasting Corporation,https://www.abc.net.au/news/2026-04-25/afl-sacks-appeals-board-chair-after-lance-collard-case/106606332,Australia
Virgin Australia passenger's flight ordeal sparks call for new mandate: 'Worst airline experience',"There is a call for change after a man was recently offended by a woman's 'wrinkly, crusty' feet on a Virgin flight.",2026-04-25T03:00:00Z,Yahoo News Australia,https://au.news.yahoo.com/virgin-australia-passengers-flight-ordeal-sparks-call-for-new-mandate-worst-airline-experience-030037169.html,Australia
What Anzac Day means to some of the two million Australians who have served since Gallipoli,"Australians taking part in Anzac Day commemorations share stories of sacrifice and bravery, and what today means to them.",2026-04-25T02:55:18Z,Australian Broadcasting Corporation,https://www.abc.net.au/news/2026-04-25/nt-anzac-day-big-picture-australians/106603252,Australia
US millionaire trophy hunter killed by herd of elephants,A US millionaire and enthusiastic big game hunter has died by being trampled to death by elephants in Africa.,2026-04-25T02:51:52Z,9News,https://www.9news.com.au/world/hunter-killed-by-elephants-gabon-africa-usa-news/1c3587a0-464a-4a35-89a3-2a01b1be134a,Australia
Booing during Welcome to Country at Melbourne and Sydney Anzac Day services draws condemnation,"Indigenous elders face racist booing from crowd members at dawn services in Melbourne, Sydney and Perth, with one man arrested and charged over his alleged involvement and others issued with move-on orders.",2026-04-25T02:06:53Z,Australian Broadcasting Corporation,https://www.abc.net.au/news/2026-04-25/anzac-day-booing-heckling-melbourne-sydney-condemnation/106605674,Australia
Popular venue Bar Bambi firebombed twice in a week,"CBD venue Bar Bambi is the target of a second arson, and police are still unable to establish a motive for almost 20 attacks across the city since early February.",2026-04-25T01:39:47Z,The Age,https://www.theage.com.au/national/victoria/it-s-become-a-war-zone-popular-melbourne-bar-firebombed-twice-in-a-week-20260425-p5zr01.html,Australia
"Anzac Day 2026: Thousands turn out for Kings Park dawn service, RSLWA & Roger Cook condemn crowd boos",The solemn tone of the Kings Park dawn service was fractured on Saturday morning when a small number of people in the crowd booed Indigenous veteran Di Ryder.,2026-04-25T01:24:00Z,The West Australian,https://thewest.com.au/news/anzac/anzac-day-2026-thousands-turn-out-for-kings-park-dawn-service-rslwa-chief-executive-condemns-crowd-boos-c-22187287,Australia
"Knights bombshell as Ponga shuns rival clubs, codes to ink mega extension","Knights bombshell as Ponga shuns rival clubs, codes to ink mega extension",2026-04-25T01:17:02Z,Fox Sports,https://www.foxsports.com.au/nrl/nrl-premiership/nrl-2026-kalyn-ponga-signs-extension-with-newcastle-knights-shuns-roosters-rugby-union-all-blacks-contract-round-8/news-story/604f4473b6ceb240f78502e38d9d6840,Australia
Keep Your Files Private With This No-Scan 1TB Cloud Storage,"Through April 30 at 11:59PM PT, you can get a lifetime 1TB subscription to Koofr Cloud Storage for A$223 using code KOOFR at checkout (though prices may change at any time).",2026-04-25T01:01:54Z,Lifehacker,https://au.lifehacker.com/tech/118245/keep-your-files-private-with-this-no-scan-1tb-cloud-storage,Australia
Final teams in as Hawks meet Suns to kick off HUGE Anzac Day. Follow LIVE,Follow all the action from Saturday's round seven games,2026-04-25T00:30:00Z,afl.com.au,https://www.afl.com.au/news/1502726/follow-it-live-hawks-v-suns-bombers-v-magpies-power-v-cats-dockers-v-blues-afl-round-seven-2026,Australia
